id,station_name,line_name,station_type,lat,lng,source
3138,국제업무지구,인천지하철 1호선,urban_rail,37.400421,126.630105,KRIC_전체_도시철도역사정보_20260228
4114,국회의사당,서울 도시철도 9호선,urban_rail,37.528105,126.917874,KRIC_전체_도시철도역사정보_20260228
0544|0725,군자(능동),5호선·7호선,urban_rail,37.557102,127.079559,KRIC_전체_도시철도역사정보_20260228
1709,군포,경부선,urban_rail,37.353732,126.948517,KRIC_전체_도시철도역사정보_20260228
1324,굴봉산,경춘선,urban_rail,37.832086,127.557732,KRIC_전체_도시철도역사정보_20260228
3760,굴포천,도시철도 7호선,urban_rail,37.50695,126.731481,KRIC_전체_도시철도역사정보_20260228
0550,굽은다리(강동구민회관앞),5호선,urban_rail,37.545442,127.142844,KRIC_전체_도시철도역사정보_20260228
3111,귤현,인천지하철 1호선,urban_rail,37.566362,126.742498,KRIC_전체_도시철도역사정보_20260228
0238,금곡,부산 도시철도 2호선,urban_rail,35.26733,129.01686,KRIC_전체_도시철도역사정보_20260228
1316,금곡,경춘선,urban_rail,37.637414,127.207931,KRIC_전체_도시철도역사정보_20260228
105,금남로4가,광주도시철도 1호선,urban_rail,35.150976,126.914446,KRIC_전체_도시철도역사정보_20260228
106,금남로5가,광주도시철도 1호선,urban_rail,35.153658,126.910033,KRIC_전체_도시철도역사정보_20260228
0210,금련산,부산 도시철도 2호선,urban_rail,35.14989,129.111008,KRIC_전체_도시철도역사정보_20260228
1279,금릉,경의중앙선,urban_rail,37.751295,126.765401,KRIC_전체_도시철도역사정보_20260228
0408,금사,부산 경량도시철도 4호선,urban_rail,35.21583,129.11517,KRIC_전체_도시철도역사정보_20260228
1708,금정,경부선·안산과천선,urban_rail,37.371957,126.943411,KRIC_전체_도시철도역사정보_20260228
1703,금천구청,경부선,urban_rail,37.45576,126.894344,KRIC_전체_도시철도역사정보_20260228
1280,금촌,경의중앙선,urban_rail,37.766106,126.774515,KRIC_전체_도시철도역사정보_20260228
0334,금호,3호선,urban_rail,37.548269,127.015785,KRIC_전체_도시철도역사정보_20260228
8013,기장,동해선,urban_rail,35.244627,129.2188951,KRIC_전체_도시철도역사정보_20260228
1865,기흥,분당선,urban_rail,37.275657,127.115944,KRIC_전체_도시철도역사정보_20260228
Y110,기흥(백남준아트센터),에버라인,urban_rail,37.27545288,127.1170465,KRIC_전체_도시철도역사정보_20260228
0549,길동,5호선,urban_rail,37.538022,127.140085,KRIC_전체_도시철도역사정보_20260228
0417,길음,4호선,urban_rail,37.603387,127.025053,KRIC_전체_도시철도역사정보_20260228
114,김대중컨벤션센터(마륵),광주도시철도 1호선,urban_rail,35.143214,126.841442,KRIC_전체_도시철도역사정보_20260228
Y119,김량장,에버라인,urban_rail,37.23732377,127.1986109,KRIC_전체_도시철도역사정보_20260228
